"These are the DSM elements we have time series for from CalLite-CV (that's the full name, there's a completely separate model called CalLite naturally). I used the names from your Google Doc (https://docs.google.com/spreadsheets/d/1FpO5moi003WxAz0-RqLlGkueru8lzsOtWV94rKkpzsc). The dates are the CalLite-CV dates: October 2014 in CalLite-CV corresponds to October 1925 in CalSim II in terms of model calibration, for reference. These results are the Outflow elements of each site listed on the Google Doc as of 1 PM 100417 (I saved those matches in another csv called 'matches for master csv.csv'. I left the Delta out of this for now... POTENTIAL PROBLEM: I'm noticing many 0-outflow months for NewHogan which is our Calaveras number. It's possible we could use the Calaveras_River node to get around this, even though it's below the anadromy limit; I think it's only got a 0 in the first month of the model run.",,,,,,,,,,,,,,
date,Upper Sacramento River,Clear Creek,Upper-mid Sacramento River,Feather River,Yuba River,Lower-mid Sacramento River,Yolo Bypass,American River,Lower Sacramento River,Calaveras River,Merced River,Stanislaus River,Tuolumne River,San Joaquin River
4/1/2023 0:00,6174.102051,150,6880.860352,3599.392334,1182.399902,11308.2041,291.3977661,2998.03125,13310.7959,97.13273621,123.3625336,786.4309692,325.3902283,3449.625732
5/1/2023 0:00,7412.145508,237.0967712,8127.846191,2313.415771,2000,9368.607422,465.950531,836.7699585,8537.042969,150.1428528,172.2806091,721.1646118,313.3518677,1613.008911
6/1/2023 0:00,12174.36914,50,12201.33398,2858.384277,1500,9990.922852,718.4821167,1810.155273,9163.775391,157.8451385,126.9047165,739.0852661,147.928894,1461.548096
7/1/2023 0:00,10988.55176,85,11049.9668,7137.710938,700,12854.20996,876.6704712,1711.785156,12231.9541,170.6727753,71.34169006,172.5709229,149.5457764,840.49646
8/1/2023 0:00,4246.532227,85,4910.299316,1460.962158,600,6586.412109,1004.805176,-453.9319458,4125.592773,151.4355011,75.47193909,173.8151398,158.8220215,1493.065186
9/1/2023 0:00,3113.178955,150,3761.857666,1502.770752,512.062439,6973.749023,978.7095947,-73.66642761,5955.183105,106.4936523,70.83970642,194.9261169,160.9723816,1435.026855
10/1/2023 0:00,3622.303955,150,4129.356445,1502.377808,569.7346802,6255.332031,695.6973877,375,5932.322266,24.92898941,242.3606415,508.5415649,228.6956177,1528.381836
11/1/2023 0:00,3250,150,4710.723633,1581.443115,754.517395,10918.6377,379.2469788,504.9952087,11560.40234,0,153.0062866,267.8289795,318.0786438,1569.457397
12/1/2023 0:00,3250,150,5207.263672,1548.390991,1099.813599,9888.087891,84.97093201,529.1353149,10654.69922,0,151.7393036,352.2390747,304.4608459,1569.901733
1/1/2024 0:00,3250,150,7192.145996,1700,2156.882324,19938.96484,1660.425293,544.1593628,21159.03906,0,164.585556,642.4266357,407.9642334,2142.966309
