A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
411,31Dec1955,1180,2107
412,31Jan1956,1141,789
413,29Feb1956,1980,1438
414,31Mar1956,2967,2381
415,30Apr1956,6362,5054
416,31May1956,11706,5798
417,30Jun1956,16336,9021
418,31Jul1956,18440,9198
419,31Aug1956,14885,8786
420,30Sep1956,6550,7373
421,31Oct1956,4028,6534
422,30Nov1956,3259,6779
423,31Dec1956,1939,4580
424,31Jan1957,1646,829
425,28Feb1957,2656,482
426,31Mar1957,2520,1196
427,30Apr1957,5523,4632
428,31May1957,10815,5377
429,30Jun1957,15231,7472
430,31Jul1957,16391,7688
431,31Aug1957,13135,7574
432,30Sep1957,5261,5297
433,31Oct1957,3465,5262
434,30Nov1957,2919,5397
435,31Dec1957,1420,4297
436,31Jan1958,1270,797
437,28Feb1958,2215,1144
438,31Mar1958,2744,2137
439,30Apr1958,4925,4014
440,31May1958,11720,6368
441,30Jun1958,16642,9552
442,31Jul1958,18808,10141
443,31Aug1958,15321,9706
444,30Sep1958,6929,8265
445,31Oct1958,4643,7729
446,30Nov1958,3315,7307
447,31Dec1958,1893,4876
448,31Jan1959,1660,1229
449,28Feb1959,2739,781
450,31Mar1959,2555,1923
451,30Apr1959,6125,5067
452,31May1959,12004,5934
453,30Jun1959,15309,8217
454,31Jul1959,16233,8469
455,31Aug1959,11836,7823
456,30Sep1959,5075,5801
457,31Oct1959,4265,6592
458,30Nov1959,2997,4776
459,31Dec1959,1511,4093
460,31Jan1960,1276,456
461,29Feb1960,2146,61
462,31Mar1960,1915,331
463,30Apr1960,4633,2780
464,31May1960,9784,3905
465,30Jun1960,13624,5741
466,31Jul1960,13942,5834
467,31Aug1960,10946,5123
468,30Sep1960,5491,4096
469,31Oct1960,3785,4231
470,30Nov1960,2256,3540
471,31Dec1960,1259,2786
472,31Jan1961,1033,746
473,28Feb1961,1908,456
474,31Mar1961,1703,996
475,30Apr1961,4671,3999
476,31May1961,10474,5323
477,30Jun1961,13807,6888
478,31Jul1961,14558,6964
479,31Aug1961,11412,6083
480,30Sep1961,5642,5081
481,31Oct1961,3924,4851
482,30Nov1961,2397,4470
483,31Dec1961,1252,3712
484,31Jan1962,1178,671
485,28Feb1962,1941,68
486,31Mar1962,2223,1221
487,30Apr1962,5550,4937
488,31May1962,11781,6150
489,30Jun1962,15416,8455
490,31Jul1962,16613,8759
491,31Aug1962,13157,8106
492,30Sep1962,6281,6296
493,31Oct1962,3419,5834
494,30Nov1962,2816,6269
495,31Dec1962,1439,4907
496,31Jan1963,1312,1203
497,28Feb1963,2272,1179
498,31Mar1963,2523,1234
499,30Apr1963,3477,2979
500,31May1963,11434,5478
501,30Jun1963,16191,5215
502,31Jul1963,17875,8543
503,31Aug1963,14324,7346
504,30Sep1963,6729,5965
505,31Oct1963,3920,4952
506,30Nov1963,2607,4490
507,31Dec1963,1813,4063
508,31Jan1964,1480,1071
509,29Feb1964,2409,801
510,31Mar1964,2784,1480
511,30Apr1964,5911,4891
512,31May1964,11006,5303
513,30Jun1964,13852,7048
514,31Jul1964,14740,7542
515,31Aug1964,11489,6845
516,30Sep1964,5590,5614
517,31Oct1964,3468,5253
518,30Nov1964,2317,4816
519,31Dec1964,1241,4009
520,31Jan1965,1150,926
521,28Feb1965,2063,1092
522,31Mar1965,2750,1566
523,30Apr1965,4724,3975
524,31May1965,12651,5558
525,30Jun1965,16268,7325
526,31Jul1965,18000,7607
527,31Aug1965,13183,6540
528,30Sep1965,6733,5814
529,31Oct1965,4605,5831
530,30Nov1965,2659,4769
531,31Dec1965,1654,4125
532,31Jan1966,1537,1598
533,28Feb1966,2567,1419
534,31Mar1966,2506,2313
535,30Apr1966,6002,5215
536,31May1966,12061,6024
537,30Jun1966,15558,8808
538,31Jul1966,16485,8918
539,31Aug1966,13099,8555
540,30Sep1966,6259,7372
541,31Oct1966,4291,7118
542,30Nov1966,2451,6125
543,31Dec1966,1433,4254
544,31Jan1967,1343,312
545,28Feb1967,2312,1083
546,31Mar1967,2797,1781
547,30Apr1967,4924,3399
548,31May1967,12696,6189
549,30Jun1967,15891,8358
550,31Jul1967,18988,9072
551,31Aug1967,15296,8454
552,30Sep1967,6908,7189
553,31Oct1967,4596,6716
554,30Nov1967,3077,6123
555,31Dec1967,1821,4719
556,31Jan1968,1660,1190
557,29Feb1968,2645,1439
558,31Mar1968,2435,2235
559,30Apr1968,5835,4903
560,31May1968,11963,6205
561,30Jun1968,15468,8900
562,31Jul1968,17030,9219
563,31Aug1968,12829,8654
564,30Sep1968,6505,7585
565,31Oct1968,3981,6464
566,30Nov1968,2668,6394
567,31Dec1968,1389,4238
568,31Jan1969,1374,303
569,28Feb1969,2354,1402
570,31Mar1969,2890,2278
571,30Apr1969,6409,4760
572,31May1969,13174,6682
573,30Jun1969,16682,9519
574,31Jul1969,18731,9797
575,31Aug1969,15082,9420
576,30Sep1969,6851,8140
577,31Oct1969,4221,7238
578,30Nov1969,3210,7251
579,31Dec1969,1597,4466
580,31Jan1970,1659,1097
581,28Feb1970,2739,1498
582,31Mar1970,2495,2186
583,30Apr1970,6222,4877
584,31May1970,12552,6169
585,30Jun1970,15212,8589
586,31Jul1970,17372,8952
587,31Aug1970,11534,8551
588,30Sep1970,6549,7365
589,31Oct1970,3968,6559
590,30Nov1970,2500,6083
591,31Dec1970,1491,4157
592,31Jan1971,1511,1214
593,28Feb1971,2529,1073
594,31Mar1971,2569,1542
595,30Apr1971,6351,4827
596,31May1971,11020,3860
597,30Jun1971,15098,4527
598,31Jul1971,16876,8361
599,31Aug1971,12555,7230
600,30Sep1971,6268,5876
601,31Oct1971,4392,5846
602,30Nov1971,2962,5053
603,31Dec1971,1452,4026
604,31Jan1972,1473,1283
605,29Feb1972,2306,858
606,31Mar1972,3313,1532
607,30Apr1972,6029,4576
608,31May1972,11553,5076
609,30Jun1972,14959,6722
610,31Jul1972,16091,6714
611,31Aug1972,12820,5862
612,30Sep1972,5741,4610
613,31Oct1972,3485,4273
614,30Nov1972,2363,3883
615,31Dec1972,1433,3428
616,31Jan1973,1276,731
617,28Feb1973,2222,1368
618,31Mar1973,2414,2257
619,30Apr1973,5958,4810
620,31May1973,12468,6104
621,30Jun1973,16261,8884
622,31Jul1973,17677,8994
623,31Aug1973,14034,8592
624,30Sep1973,6525,7293
625,31Oct1973,3836,6306
626,30Nov1973,2550,6238
627,31Dec1973,1575,4159
628,31Jan1974,1506,1524
629,28Feb1974,2532,1234
630,31Mar1974,2730,1845
631,30Apr1974,5677,4091
632,31May1974,13122,6094
633,30Jun1974,17059,8136
634,31Jul1974,17848,8032
635,31Aug1974,14778,7748
636,30Sep1974,6984,6576
637,31Oct1974,4102,5876
638,30Nov1974,3187,5604
639,31Dec1974,1626,4418
640,31Jan1975,1843,1516
641,28Feb1975,2739,1036
642,31Mar1975,2374,2242
643,30Apr1975,5434,4543
644,31May1975,12508,6282
645,30Jun1975,16134,9025
646,31Jul1975,17574,9090
647,31Aug1975,14254,8651
648,30Sep1975,6643,7495
649,31Oct1975,3672,6245
650,30Nov1975,3106,6616
651,31Dec1975,1823,4476
652,31Jan1976,1642,1527
653,29Feb1976,2743,616
654,31Mar1976,2846,2359
655,30Apr1976,4324,5183
656,31May1976,10411,5895
657,30Jun1976,12534,7968
658,31Jul1976,12853,8490
659,31Aug1976,9750,7273
660,30Sep1976,5111,5439
661,31Oct1976,3700,6133
662,30Nov1976,2572,3842
663,31Dec1976,1304,4209
664,31Jan1977,963,638
665,28Feb1977,1957,91
666,31Mar1977,1845,558
667,30Apr1977,3508,1630
668,31May1977,6337,1092
669,30Jun1977,9507,1821
670,31Jul1977,9814,1791
671,31Aug1977,7897,1445
672,30Sep1977,3447,626
673,31Oct1977,2580,420
674,30Nov1977,1731,234
675,31Dec1977,786,184
676,31Jan1978,636,89
677,28Feb1978,1261,573
678,31Mar1978,2600,1704
