A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
663,31Dec1976,1504,3219
664,31Jan1977,1257,684
665,28Feb1977,1906,181
666,31Mar1977,1758,639
667,30Apr1977,4993,750
668,31May1977,4223,1912
669,30Jun1977,5808,2290
670,31Jul1977,6168,2866
671,31Aug1977,5324,2610
672,30Sep1977,2588,2170
673,31Oct1977,2406,1552
674,30Nov1977,1344,1359
675,31Dec1977,821,1278
676,31Jan1978,583,108
677,28Feb1978,835,489
678,31Mar1978,2555,2733
679,30Apr1978,7403,4741
680,31May1978,11526,7830
681,30Jun1978,16813,9592
682,31Jul1978,17435,9586
683,31Aug1978,13877,9258
684,30Sep1978,6290,7283
685,31Oct1978,5237,7845
686,30Nov1978,2760,6985
687,31Dec1978,2134,6044
688,31Jan1979,2285,552
689,28Feb1979,2946,175
690,31Mar1979,2543,418
691,30Apr1979,8201,5054
692,31May1979,10591,7279
693,30Jun1979,14977,8861
694,31Jul1979,15252,8822
695,31Aug1979,12173,8546
696,30Sep1979,5982,7187
697,31Oct1979,4123,6236
698,30Nov1979,2482,6343
699,31Dec1979,1665,5247
700,31Jan1980,1798,740
701,29Feb1980,2271,1848
702,31Mar1980,2880,3104
703,30Apr1980,8512,6427
704,31May1980,10631,8344
705,30Jun1980,15216,10133
706,31Jul1980,15998,10121
707,31Aug1980,12906,9786
708,30Sep1980,6317,8310
709,31Oct1980,4805,8046
710,30Nov1980,2810,7912
711,31Dec1980,1792,6771
712,31Jan1981,2003,363
713,28Feb1981,2597,189
714,31Mar1981,2394,226
715,30Apr1981,7465,2107
716,31May1981,9419,4572
717,30Jun1981,13935,6441
718,31Jul1981,14019,6997
719,31Aug1981,10778,6154
720,30Sep1981,5534,4883
721,31Oct1981,3932,3003
722,30Nov1981,2196,2585
723,31Dec1981,1522,2270
724,31Jan1982,1491,2035
725,28Feb1982,1974,2086
726,31Mar1982,3174,2967
727,30Apr1982,7355,5730
728,31May1982,12317,8756
729,30Jun1982,17004,10528
730,31Jul1982,18695,10655
731,31Aug1982,14847,10207
732,30Sep1982,6212,8029
733,31Oct1982,4508,7457
734,30Nov1982,2695,7354
735,31Dec1982,2218,6771
736,31Jan1983,2521,2511
737,28Feb1983,3243,2290
738,31Mar1983,3373,2925
739,30Apr1983,6964,5384
740,31May1983,11705,8554
741,30Jun1983,17511,10445
742,31Jul1983,18689,10737
743,31Aug1983,14583,10106
744,30Sep1983,6652,8024
745,31Oct1983,5071,7865
746,30Nov1983,2606,7131
747,31Dec1983,2106,6050
748,31Jan1984,2633,3222
749,29Feb1984,3132,2209
750,31Mar1984,3139,2913
751,30Apr1984,10275,5940
752,31May1984,11455,7623
753,30Jun1984,15386,9194
754,31Jul1984,16066,9212
755,31Aug1984,11154,8868
756,30Sep1984,6273,7487
757,31Oct1984,4402,6557
758,30Nov1984,2399,6238
759,31Dec1984,1985,5695
760,31Jan1985,2115,912
761,28Feb1985,2632,322
762,31Mar1985,2293,458
763,30Apr1985,8479,5442
764,31May1985,10179,6981
765,30Jun1985,13965,8472
766,31Jul1985,14267,8630
767,31Aug1985,11447,8492
768,30Sep1985,5167,5040
769,31Oct1985,4253,4817
770,30Nov1985,2182,6985
771,31Dec1985,1632,6002
772,31Jan1986,1573,396
773,28Feb1986,2082,203
774,31Mar1986,2319,2681
775,30Apr1986,7579,5716
776,31May1986,9722,7826
777,30Jun1986,13981,9502
778,31Jul1986,14129,9536
779,31Aug1986,11411,9211
780,30Sep1986,5173,7378
781,31Oct1986,4492,7641
782,30Nov1986,2572,5992
783,31Dec1986,1609,5674
784,31Jan1987,1529,693
785,28Feb1987,2032,159
786,31Mar1987,1709,186
787,30Apr1987,8390,1261
788,31May1987,9846,2422
789,30Jun1987,13292,3317
790,31Jul1987,13356,3653
791,31Aug1987,10813,3219
792,30Sep1987,5463,2704
793,31Oct1987,4213,1563
794,30Nov1987,2191,969
795,31Dec1987,1422,983
796,31Jan1988,1403,113
797,29Feb1988,1723,198
798,31Mar1988,2154,451
799,30Apr1988,6692,1318
800,31May1988,7049,2353
801,30Jun1988,9960,3569
802,31Jul1988,10067,4019
803,31Aug1988,8330,3540
804,30Sep1988,4422,3003
805,31Oct1988,3701,2661
806,30Nov1988,1775,2007
807,31Dec1988,962,1813
808,31Jan1989,719,443
809,28Feb1989,983,195
810,31Mar1989,1635,247
811,30Apr1989,7626,4540
812,31May1989,9544,6934
813,30Jun1989,12429,8728
814,31Jul1989,12526,9252
815,31Aug1989,10352,9009
816,30Sep1989,4019,6147
817,31Oct1989,3741,6093
818,30Nov1989,2231,6233
819,31Dec1989,1479,4635
820,31Jan1990,1176,542
821,28Feb1990,1500,171
822,31Mar1990,1721,216
823,30Apr1990,4577,2802
824,31May1990,4075,2706
825,30Jun1990,6589,4728
826,31Jul1990,6549,4998
827,31Aug1990,5615,4283
828,30Sep1990,3393,3565
829,31Oct1990,2684,2710
830,30Nov1990,1478,2075
831,31Dec1990,908,1724
832,31Jan1991,642,518
833,28Feb1991,961,181
834,31Mar1991,1406,196
835,30Apr1991,4302,1206
836,31May1991,5373,2394
837,30Jun1991,7426,3220
838,31Jul1991,7437,3714
839,31Aug1991,6244,3252
840,30Sep1991,3454,2758
841,31Oct1991,2621,2728
842,30Nov1991,1467,2587
843,31Dec1991,798,1938
844,31Jan1992,524,505
845,29Feb1992,808,159
846,31Mar1992,1609,230
847,30Apr1992,5536,1140
848,31May1992,7357,3143
849,30Jun1992,9426,4304
850,31Jul1992,9804,5043
851,31Aug1992,8183,4486
852,30Sep1992,4207,3772
853,31Oct1992,2956,1348
854,30Nov1992,1724,1117
855,31Dec1992,877,3938
856,31Jan1993,639,135
857,28Feb1993,947,441
858,31Mar1993,2451,556
859,30Apr1993,8072,3605
860,31May1993,8628,5287
861,30Jun1993,13466,7903
862,31Jul1993,14743,9390
863,31Aug1993,11826,9099
864,30Sep1993,6043,7660
865,31Oct1993,4400,6309
866,30Nov1993,2424,5841
867,31Dec1993,1716,4693
868,31Jan1994,1617,733
869,28Feb1994,2133,234
870,31Mar1994,2575,457
871,30Apr1994,8276,3370
872,31May1994,8194,4057
873,30Jun1994,12864,6235
874,31Jul1994,13322,7149
875,31Aug1994,10511,6492
876,30Sep1994,5038,5502
877,31Oct1994,3684,3447
878,30Nov1994,1944,2730
879,31Dec1994,1552,2369
880,31Jan1995,1662,114
881,28Feb1995,2150,1828
882,31Mar1995,2901,2385
883,30Apr1995,8657,5935
884,31May1995,10474,7820
885,30Jun1995,16443,9842
886,31Jul1995,17969,10358
887,31Aug1995,14286,9946
888,30Sep1995,6859,8494
889,31Oct1995,5268,8270
890,30Nov1995,3019,7409
891,31Dec1995,2035,4985
892,31Jan1996,2395,644
893,29Feb1996,2979,1352
894,31Mar1996,2843,2577
895,30Apr1996,8249,5060
896,31May1996,9305,6623
897,30Jun1996,16538,9440
898,31Jul1996,17170,9351
899,31Aug1996,13039,9143
900,30Sep1996,6529,7632
901,31Oct1996,4544,6528
902,30Nov1996,2608,4872
903,31Dec1996,1924,6562
904,31Jan1997,2196,1875
905,28Feb1997,2833,1883
906,31Mar1997,3161,2632
907,30Apr1997,10235,6166
908,31May1997,10724,7278
909,30Jun1997,14576,8818
910,31Jul1997,15370,8904
911,31Aug1997,10412,8638
912,30Sep1997,5842,7171
913,31Oct1997,4359,6707
914,30Nov1997,2238,6173
915,31Dec1997,1849,5528
916,31Jan1998,1869,221
917,28Feb1998,2436,1913
918,31Mar1998,3262,2737
919,30Apr1998,8331,5259
920,31May1998,8521,7270
921,30Jun1998,17311,10945
922,31Jul1998,18765,10903
923,31Aug1998,14901,10458
924,30Sep1998,6898,8592
